"Year","Treat.Code","Plot","Subplot","Species","germ.tot","germ.proj","trt.mort","pst.mort","tot.mort","viable"
2017,"C",86,"Thatch","Lasthenia californica",55,16,1,1,2,100
2017,"C",86,"No Grass","Calycadenia pauciflora",3,3,0,0,0,31
2017,"C",86,"No Grass","Hemizonia congesta",16,15,0,4,4,32
2017,"C",86,"No Grass","Clarkia purpurea",4,8,1,5,6,30
2017,"D",87,"Thatch","Lasthenia californica",31,15,0,0,0,100
2017,"D",87,"Grass","Lasthenia californica",8,7,0,0,0,100
2017,"D",87,"Grass","Calycadenia pauciflora",17,15,0,6,6,31
2017,"D",87,"Grass","Clarkia purpurea",20,15,0,7,7,30
2017,"D",87,"No Grass","Hemizonia congesta",21,15,0,9,9,32
2017,"D",87,"Grass","Agoseris heterophylla",82,15,0,3,3,94
2017,"D",87,"No Grass","Plantago erecta",72,15,0,0,0,99
2017,"D",87,"Grass","Hemizonia congesta",13,15,1,6,7,32
2017,"D",87,"Thatch","Calycadenia pauciflora",6,7,0,2,2,31
2017,"D",87,"Thatch","Hemizonia congesta",5,12,0,8,8,32
2017,"D",87,"No Grass","Calycadenia pauciflora",11,11,1,0,1,31
2017,"D",87,"Grass","Plantago erecta",51,15,0,0,0,99
2017,"D",87,"No Grass","Lasthenia californica",55,15,0,0,0,100
2017,"D",87,"No Grass","Agoseris heterophylla",68,15,0,0,0,94
2017,"D",87,"Thatch","Clarkia purpurea",24,16,1,13,14,30
2017,"D",87,"Thatch","Agoseris heterophylla",94,15,0,3,3,94
2017,"D",87,"No Grass","Clarkia purpurea",10,9,1,3,4,30
2017,"D",87,"Thatch","Plantago erecta",62,16,1,2,3,99
2017,"D",89,"Grass","Hemizonia congesta",29,15,0,0,0,32
2017,"D",89,"No Grass","Calycadenia pauciflora",8,8,0,4,4,31
2017,"D",89,"No Grass","Agoseris heterophylla",68,15,0,1,1,94
